moisture,temperature,humidity,light,ph,air_quality,nutrient,label
198,22,20,428,4.61,589,74,stress
330,20,86,537,4.75,752,77,stress
117,25,55,681,4.9,610,38,water_needed
183,24,71,450,4.91,578,35,stress
206,19,43,602,7.07,661,38,healthy
223,22,62,864,7.47,293,60,healthy
157,35,54,397,6.1,280,21,stress
314,36,82,140,5.03,216,72,stress
325,24,78,585,4.52,327,99,stress
196,27,80,297,6.19,666,57,healthy
213,19,37,343,6.15,538,58,healthy
226,18,26,558,5.44,657,45,stress
147,32,88,478,6.63,606,59,water_needed
173,39,48,201,6.92,634,68,stress
132,38,37,661,6.89,327,67,water_needed
324,24,61,743,5.38,546,95,healthy
211,37,86,307,5.11,507,91,stress
353,33,37,484,5.57,772,92,healthy
196,19,60,802,6.44,466,86,healthy
308,44,26,332,6.39,600,67,stress
168,40,82,112,7.63,588,20,stress
102,35,73,347,7.76,677,97,water_needed
139,36,44,546,7.51,337,73,water_needed
184,38,23,254,6.2,729,38,stress
147,37,60,767,5.15,498,67,water_needed
276,43,53,296,5.6,578,72,stress
235,21,28,329,5.54,295,30,stress
199,44,34,744,5.46,699,50,stress
280,35,82,780,5.03,731,33,stress
313,42,45,334,5.72,773,95,stress
218,19,41,238,5.65,260,29,stress
390,26,64,546,6.59,619,63,healthy
176,26,43,398,5.49,376,21,stress
268,22,69,785,6.81,647,99,healthy
206,25,70,131,5.47,582,32,stress
164,22,71,169,7.23,666,62,healthy
378,26,35,173,5.09,747,65,stress
305,23,76,276,7.67,601,44,stress
246,41,44,399,6.53,790,38,stress
371,27,89,343,7.63,282,28,stress
353,24,66,732,4.84,543,97,stress
258,38,20,881,6.0,702,64,stress
280,32,68,664,6.88,554,80,healthy
170,30,50,313,5.25,241,84,healthy
254,22,25,342,7.45,400,23,stress
308,24,79,714,7.09,327,52,healthy
370,23,41,269,6.15,320,80,healthy
355,36,39,366,5.74,747,30,stress
344,32,81,273,6.34,742,47,healthy
229,42,20,643,7.24,572,85,stress
143,27,71,260,5.14,354,72,water_needed
286,39,34,830,4.72,382,20,stress
283,24,57,421,7.01,478,71,healthy
125,44,68,693,5.56,614,89,water_needed
368,40,31,503,6.7,712,29,stress
118,35,83,250,5.79,247,94,water_needed
101,35,58,482,7.69,583,33,water_needed
151,31,86,214,6.04,241,37,healthy
333,19,55,862,4.75,478,75,stress
156,27,58,408,6.32,712,91,healthy
103,43,48,158,4.78,389,56,water_needed
167,40,49,209,7.79,778,36,stress
239,38,45,669,5.28,257,41,healthy
249,44,51,663,5.25,212,38,stress
203,27,47,296,6.04,262,73,healthy
103,35,60,578,6.32,777,78,water_needed
359,18,74,700,6.46,316,29,stress
343,21,72,710,7.04,729,22,stress
322,35,71,644,6.52,745,44,healthy
362,28,33,212,6.16,390,56,healthy
365,18,52,781,5.75,498,41,healthy
187,43,51,865,4.7,503,36,stress
114,31,57,594,7.67,520,58,water_needed
298,37,52,426,4.85,327,54,stress
240,25,27,482,4.72,676,85,stress
127,29,29,860,5.07,499,86,water_needed
394,18,41,737,5.67,672,75,healthy
216,24,75,680,5.8,715,64,healthy
199,39,36,200,6.21,693,54,stress
293,33,82,514,7.78,299,21,stress
116,34,41,268,7.39,465,21,water_needed
233,20,58,483,6.56,497,59,healthy
209,42,78,296,5.48,618,79,stress
186,40,62,167,4.5,798,41,stress
146,20,81,832,5.72,553,37,water_needed
371,22,39,779,5.88,422,53,healthy
396,26,38,716,5.28,370,85,healthy
356,32,73,446,6.55,352,54,healthy
160,43,22,549,5.67,591,72,stress
354,42,67,698,6.99,587,39,stress
235,36,30,781,6.47,463,77,healthy
188,22,83,550,6.19,578,50,healthy
241,23,72,656,4.92,322,44,stress
219,34,22,258,7.78,643,61,stress
350,24,80,443,4.7,311,44,stress
158,33,62,561,5.42,793,33,stress
177,33,26,694,6.75,400,69,stress
108,42,66,663,5.46,234,82,water_needed
