moisture,temperature,humidity,light,ph,air_quality,nutrient,label
390,20,52,507,6.82,712,64,healthy
340,24,63,651,6.65,752,67,healthy
215,30,43,409,5.52,513,53,stress
366,24,71,444,7.27,614,70,healthy
305,23,78,685,6.68,611,83,healthy
186,29,42,488,4.53,552,38,stress
210,33,48,429,4.68,502,40,stress
344,26,53,587,7.25,766,75,healthy
342,24,71,605,6.42,669,86,healthy
177,33,40,389,4.93,564,51,stress
88,28,39,426,5.57,689,46,water_needed
228,31,39,407,5.91,645,43,stress
163,31,30,474,4.99,575,47,stress
156,32,36,363,5.09,554,48,stress
114,25,26,370,5.55,624,29,water_needed
303,24,75,501,6.02,693,74,healthy
254,22,64,517,7.43,740,79,healthy
107,28,41,451,6.63,574,42,water_needed
133,30,29,421,6.33,560,49,water_needed
278,24,58,561,6.96,694,60,healthy
381,20,67,469,6.77,793,82,healthy
140,28,22,482,5.1,614,43,water_needed
147,28,22,434,5.29,560,23,water_needed
252,26,77,562,7.37,753,77,healthy
242,32,49,425,4.98,553,58,stress
273,26,51,527,6.82,624,72,healthy
347,21,53,433,6.85,784,53,healthy
189,32,40,379,5.59,648,42,stress
205,30,48,401,4.53,568,55,stress
250,26,54,461,7.48,754,72,healthy
105,26,28,384,5.35,660,26,water_needed
253,27,67,544,6.25,724,72,healthy
92,24,23,370,6.84,692,34,water_needed
185,31,30,375,5.46,599,32,stress
329,26,52,401,6.06,619,81,healthy
354,23,50,677,6.44,683,84,healthy
218,30,35,313,4.53,539,32,stress
128,29,39,429,5.94,575,34,water_needed
193,32,32,327,5.96,527,32,stress
236,29,40,371,4.67,604,42,stress
88,25,26,529,6.41,612,33,water_needed
189,33,32,460,4.52,500,36,stress
194,28,31,485,4.52,604,35,stress
219,30,33,388,5.6,596,49,stress
122,24,28,535,5.07,693,44,water_needed
228,33,33,472,4.69,609,43,stress
115,28,39,352,5.56,608,33,water_needed
137,26,29,595,6.32,637,26,water_needed
107,31,21,483,6.79,611,49,water_needed
316,21,61,458,7.47,726,73,healthy
88,23,43,556,5.72,560,31,water_needed
114,23,29,546,5.76,586,31,water_needed
103,31,23,352,5.57,652,45,water_needed
295,22,70,407,7.08,667,50,healthy
107,29,28,579,5.17,683,25,water_needed
133,27,34,395,6.07,555,25,water_needed
306,22,74,616,6.47,721,78,healthy
103,30,22,506,6.44,669,20,water_needed
202,32,39,482,5.18,565,46,stress
84,30,22,379,5.68,690,34,water_needed
196,30,34,417,4.66,562,52,stress
147,23,38,370,5.05,565,34,water_needed
129,22,21,475,6.42,580,20,water_needed
297,27,62,459,7.18,689,63,healthy
239,31,48,445,4.76,541,34,stress
222,32,44,426,5.15,561,55,stress
111,27,34,385,6.81,569,41,water_needed
178,30,32,419,5.49,570,30,stress
143,31,35,421,6.95,684,41,water_needed
145,29,42,352,6.7,615,25,water_needed
86,31,22,456,5.51,621,36,water_needed
243,34,48,494,5.07,603,44,stress
152,29,43,480,5.89,552,43,stress
323,23,74,500,6.01,674,58,healthy
292,26,66,675,7.39,686,87,healthy
102,29,22,547,5.93,613,21,water_needed
94,30,24,485,6.08,632,33,water_needed
104,28,43,518,5.54,606,20,water_needed
270,23,62,522,6.83,720,64,healthy
179,32,40,391,4.71,620,37,stress
134,25,34,364,5.4,618,44,water_needed
335,22,53,615,6.01,618,60,healthy
377,21,63,511,7.46,614,66,healthy
140,30,34,579,5.27,605,38,water_needed
180,33,31,496,5.24,638,51,stress
358,26,65,590,6.33,740,80,healthy
254,24,51,455,6.58,726,80,healthy
389,23,58,453,7.17,757,83,healthy
82,23,29,444,5.51,589,40,water_needed
185,33,49,337,5.15,512,46,stress
370,25,67,616,6.69,612,63,healthy
93,23,28,482,6.9,588,49,water_needed
91,30,32,461,5.41,589,43,water_needed
231,29,38,346,4.88,637,49,stress
266,23,62,563,6.7,766,62,healthy
143,31,34,565,6.19,595,38,water_needed
364,22,64,563,6.75,731,52,healthy
211,30,31,324,4.97,632,37,stress
388,25,78,590,7.07,780,66,healthy
395,25,76,546,7.31,770,67,healthy
122,31,40,478,5.43,654,28,water_needed
119,23,34,537,6.49,601,32,water_needed
153,34,46,314,5.54,510,35,stress
233,29,43,356,5.23,511,45,stress
103,28,30,418,5.16,575,20,water_needed
257,21,64,546,7.39,736,76,healthy
340,25,69,604,6.36,628,89,healthy
118,25,44,573,6.95,641,45,water_needed
260,23,65,524,7.21,607,54,healthy
199,33,42,308,4.55,629,44,stress
212,31,34,304,4.8,512,48,stress
180,30,32,356,4.71,580,47,stress
176,30,44,379,4.66,620,43,stress
372,25,55,664,6.32,705,84,healthy
167,34,45,426,5.3,568,42,stress
302,20,64,560,7.5,763,89,healthy
239,30,31,385,5.73,574,49,stress
246,34,33,387,5.02,640,40,stress
198,33,47,391,4.82,558,57,stress
110,26,24,575,6.89,650,36,water_needed
289,22,64,551,6.83,799,50,healthy
398,24,60,444,6.28,786,59,healthy
125,23,32,494,5.13,600,34,water_needed
145,23,30,494,6.58,662,20,water_needed
249,30,39,481,5.09,526,53,stress
228,31,49,369,5.3,506,59,stress
105,31,22,489,6.97,555,28,water_needed
97,22,20,505,5.93,572,44,water_needed
81,25,29,438,6.28,607,38,water_needed
192,29,32,310,5.82,596,33,stress
95,23,28,486,5.78,568,35,water_needed
285,24,52,528,7.23,758,55,healthy
314,23,59,582,6.6,785,68,healthy
121,23,40,477,6.31,567,22,water_needed
92,31,31,462,6.75,688,44,water_needed
258,26,62,540,6.8,684,61,healthy
282,20,72,661,6.18,605,80,healthy
