time,moisture,temperature,humidity,light,ph,air_quality,nutrient,prediction
2026-03-26 14:39:49.902456,55,23,42,841,7.3,48,39,water_needed
2026-03-26 14:39:52.084602,45,35,75,828,7.2,73,37,water_needed
2026-03-26 14:39:54.231475,56,21,60,449,6.8,63,78,healthy
2026-03-26 14:39:56.372738,90,36,40,679,7.4,57,77,water_needed
2026-03-26 14:39:58.517091,42,45,78,463,6.6,82,79,healthy
2026-03-26 14:40:00.654805,79,24,28,383,6.9,34,52,water_needed
2026-03-26 14:40:02.786794,42,31,34,394,6.9,37,72,water_needed
2026-03-26 14:40:04.934857,28,43,63,259,5.6,51,51,water_needed
2026-03-26 14:40:07.085650,86,42,31,246,6.9,70,64,water_needed
2026-03-26 14:40:09.215846,31,39,35,686,6.4,90,56,water_needed
2026-03-26 14:40:11.357522,48,35,21,155,5.9,75,34,water_needed
2026-03-26 14:40:13.492225,63,42,46,886,6.1,82,79,water_needed
2026-03-26 14:40:15.641378,14,22,56,554,5.8,59,80,healthy
2026-03-26 14:40:17.777033,56,15,75,664,7.0,43,32,water_needed
2026-03-26 14:40:19.974736,37,40,48,527,7.1,85,49,water_needed
2026-03-26 14:40:22.133510,70,16,56,808,5.9,87,53,water_needed
2026-03-26 14:40:24.275974,50,24,32,327,7.0,76,33,water_needed
2026-03-26 14:40:26.429262,18,34,39,730,5.5,32,53,water_needed
2026-03-26 14:40:28.572178,38,20,63,703,6.6,47,55,healthy
2026-03-26 14:40:30.722658,68,15,27,631,6.9,51,48,water_needed
2026-03-26 14:40:32.870560,17,39,37,581,6.1,33,49,water_needed
2026-03-26 14:40:35.020495,57,16,80,689,7.5,67,66,healthy
2026-03-26 14:40:37.169317,94,17,66,192,6.9,69,48,water_needed
2026-03-26 14:40:39.314424,45,18,41,264,7.2,79,48,water_needed
2026-03-26 14:40:41.452698,56,41,29,652,5.9,41,50,water_needed
2026-03-26 14:40:43.599543,76,44,66,188,6.0,30,39,water_needed
2026-03-26 14:40:45.751212,34,44,82,410,7.0,38,61,healthy
2026-03-26 14:40:48.626714,39,28,36,604,6.6,82,23,water_needed
2026-03-26 14:40:50.764568,30,17,55,207,6.6,37,23,water_needed
2026-03-26 14:40:52.909532,95,45,36,472,7.4,57,33,water_needed
2026-03-26 14:40:55.052972,65,21,75,282,7.0,63,50,healthy
2026-03-26 14:40:57.197351,71,24,77,307,6.4,62,71,healthy
2026-03-26 14:40:59.345306,49,24,71,333,5.6,67,80,healthy
2026-03-26 14:41:01.486276,28,32,20,249,6.2,36,37,water_needed
2026-03-26 14:41:03.632213,88,37,76,731,6.7,38,75,healthy
2026-03-26 14:41:05.782556,39,40,63,264,6.3,86,63,healthy
2026-03-26 14:41:07.936138,25,25,85,661,6.6,34,76,healthy
2026-03-26 14:41:10.084772,59,33,33,870,5.5,89,66,water_needed
2026-03-26 14:41:12.229593,34,17,52,685,6.3,88,29,water_needed
2026-03-26 14:41:14.374322,10,33,34,525,6.1,35,64,water_needed
2026-03-26 14:41:16.583997,68,25,52,304,6.6,77,51,healthy
2026-03-26 14:41:18.723312,42,41,83,402,6.1,84,34,water_needed
2026-03-26 14:41:20.872892,60,38,70,396,6.6,75,37,water_needed
2026-03-26 14:41:23.020418,53,45,23,296,6.6,45,31,water_needed
2026-03-26 14:41:25.169436,73,32,40,191,5.6,61,38,water_needed
2026-03-26 14:41:27.319285,47,25,80,827,7.1,44,43,water_needed
2026-03-26 14:41:29.472471,28,40,72,629,6.4,54,30,water_needed
2026-03-26 14:41:31.610823,36,41,54,455,6.1,85,26,water_needed
2026-03-26 14:41:33.760522,24,33,36,144,7.1,62,46,water_needed
2026-03-26 14:41:35.903711,41,30,82,868,6.3,72,36,water_needed
2026-03-26 14:41:38.063545,64,23,36,249,7.2,30,49,water_needed
2026-03-26 14:41:40.223329,48,44,85,758,6.5,68,31,water_needed
2026-03-26 14:41:42.454163,13,39,35,137,7.0,31,31,water_needed
2026-03-26 14:41:44.626698,83,24,66,269,7.4,38,28,water_needed
2026-03-26 14:41:46.836843,78,34,67,592,7.1,75,41,water_needed
2026-03-26 14:41:48.988331,14,31,84,265,6.6,31,21,water_needed
2026-03-26 14:41:51.157537,41,40,22,379,5.9,81,63,water_needed
2026-03-26 14:41:53.360241,33,41,21,653,7.3,79,60,water_needed
2026-03-26 14:41:55.493005,51,23,39,898,7.3,70,58,water_needed
2026-03-26 14:41:57.643202,49,22,53,612,5.9,78,48,water_needed
2026-03-26 14:41:59.786090,35,20,57,260,6.3,36,31,water_needed
2026-03-26 14:42:01.940556,18,26,33,458,5.7,78,35,water_needed
2026-03-26 14:42:04.100325,63,22,47,238,7.1,51,52,water_needed
2026-03-26 14:42:06.248739,14,36,68,270,5.7,78,58,water_needed
2026-03-26 14:42:08.393815,71,35,78,253,6.3,61,28,water_needed
2026-03-26 14:42:10.547083,20,44,28,320,6.1,69,37,water_needed
2026-03-26 14:42:12.707126,18,41,59,161,6.8,78,76,healthy
2026-03-26 14:42:14.924940,80,43,53,260,7.0,30,41,water_needed
2026-03-26 14:42:17.088835,57,37,24,180,5.9,53,56,water_needed
2026-03-26 14:42:19.254738,32,19,63,638,5.5,35,46,water_needed
2026-03-26 14:42:21.399239,29,42,24,291,7.0,77,65,water_needed
2026-03-26 14:42:23.547063,68,26,83,572,5.9,64,33,water_needed
2026-03-26 14:42:25.699161,46,16,57,287,6.6,63,75,healthy
2026-03-26 14:42:27.853077,35,31,58,514,6.7,43,37,water_needed
2026-03-26 14:42:30.007994,14,36,38,382,6.4,57,67,water_needed
2026-03-26 14:42:32.153268,31,16,35,257,5.9,86,38,water_needed
2026-03-26 14:42:34.298167,30,19,32,637,5.9,48,59,water_needed
2026-03-26 14:42:36.439042,74,21,60,342,7.0,34,29,water_needed
2026-03-26 14:42:38.581806,16,37,50,685,7.1,30,62,healthy
2026-03-26 14:42:40.728058,32,21,77,469,5.7,57,60,healthy
2026-03-26 14:42:42.948413,89,16,33,567,6.7,78,63,water_needed
2026-03-26 14:42:45.098875,34,21,46,600,7.3,38,40,water_needed
2026-03-26 14:42:47.252151,37,40,45,771,5.7,86,35,water_needed
2026-03-26 14:42:49.398743,10,34,38,228,7.0,69,27,water_needed
2026-03-26 14:42:51.550444,79,17,35,437,5.7,89,40,water_needed
2026-03-26 14:42:53.710514,92,37,29,467,7.3,40,28,water_needed
2026-03-26 14:42:55.859700,87,15,52,335,6.9,48,32,water_needed
2026-03-26 14:42:58.012567,47,31,49,146,6.1,79,31,water_needed
2026-03-26 14:43:00.152822,54,31,31,553,6.3,77,76,water_needed
2026-03-26 14:43:02.303307,44,45,80,711,7.2,80,32,water_needed
2026-03-26 14:43:04.445405,35,43,44,501,6.0,72,30,water_needed
2026-03-26 14:43:06.593294,50,24,55,816,7.1,75,30,water_needed
2026-03-26 14:43:08.755747,92,36,41,395,6.8,51,70,water_needed
2026-03-26 14:43:10.969851,72,15,68,503,6.6,81,22,water_needed
2026-03-26 14:43:13.115006,92,26,22,371,7.4,72,26,water_needed
2026-03-26 14:43:15.256479,75,24,44,841,6.6,47,25,water_needed
2026-03-26 14:43:17.408205,89,40,35,805,5.9,76,25,water_needed
2026-03-26 14:43:19.561466,59,45,83,473,7.0,55,51,water_needed
2026-03-26 14:43:21.707489,68,44,78,195,6.7,58,25,water_needed
2026-03-26 14:43:23.859910,77,31,52,528,7.4,81,26,water_needed
2026-03-26 14:43:26.011060,82,15,20,102,6.8,90,72,water_needed
2026-03-26 14:43:28.150068,92,33,46,419,6.1,74,73,water_needed
2026-03-26 14:43:30.293690,33,40,82,783,6.2,87,76,healthy
2026-03-26 14:43:32.440002,53,30,26,245,7.5,56,25,water_needed
2026-03-26 14:43:34.581024,75,25,76,462,6.3,81,53,healthy
2026-03-26 14:43:36.726663,11,29,65,254,7.4,59,26,water_needed
2026-03-26 14:43:38.871207,11,40,37,391,6.0,80,69,water_needed
2026-03-26 14:43:41.082112,65,42,61,167,7.1,82,31,water_needed
2026-03-26 14:43:43.229670,37,39,41,221,6.0,77,62,water_needed
2026-03-26 14:43:45.375663,83,26,47,513,7.3,84,43,water_needed
2026-03-26 14:43:47.536886,27,20,70,598,6.8,47,28,water_needed
2026-03-26 14:43:49.693507,81,22,32,100,5.8,42,33,water_needed
2026-03-26 14:43:51.875531,22,44,79,596,6.4,88,38,water_needed
2026-03-26 14:43:54.033982,82,43,48,862,6.9,55,80,water_needed
2026-03-26 14:43:56.187570,82,26,74,639,5.6,88,34,water_needed
2026-03-26 14:43:58.324232,46,45,75,496,6.8,41,69,healthy
2026-03-26 14:44:00.469454,72,16,32,120,6.1,68,35,water_needed
2026-03-26 14:44:02.610077,28,34,22,514,6.0,68,48,water_needed
2026-03-26 14:44:04.770180,80,23,43,673,7.5,36,50,water_needed
2026-03-26 14:44:06.923955,19,35,58,303,7.3,46,61,healthy
2026-03-26 14:44:09.142029,86,40,51,354,6.4,64,57,water_needed
2026-03-26 14:44:11.297380,20,38,78,486,6.1,72,40,water_needed
2026-03-26 14:44:13.589000,26,20,33,789,6.2,59,70,water_needed
2026-03-26 14:44:15.728695,55,27,60,468,6.2,66,53,healthy
2026-03-26 14:44:17.872090,81,40,66,527,7.3,56,68,healthy
2026-03-26 14:44:20.037061,50,15,77,198,6.3,51,77,healthy
2026-03-26 14:44:22.190661,42,34,64,202,5.8,76,35,water_needed
2026-03-26 14:44:24.335724,75,39,68,581,7.1,31,57,water_needed
2026-03-26 14:44:26.486017,57,39,71,714,5.9,78,48,water_needed
2026-03-26 14:44:28.640797,32,20,30,875,7.2,72,72,water_needed
2026-03-26 14:44:30.788910,60,40,27,815,6.0,39,45,water_needed
2026-03-26 14:44:32.934661,86,41,81,136,5.7,31,67,water_needed
2026-03-26 14:44:35.083480,35,16,39,791,5.8,57,79,water_needed
2026-03-26 14:44:37.289100,58,26,33,459,6.1,66,29,water_needed
2026-03-26 14:44:39.450945,61,41,67,384,6.9,58,44,water_needed
2026-03-26 14:44:41.598367,47,25,46,317,6.2,87,77,water_needed
2026-03-26 14:44:43.767108,12,44,55,297,7.5,73,30,water_needed
2026-03-26 14:44:45.910945,39,40,62,852,6.1,63,28,water_needed
2026-03-26 14:44:48.056032,69,21,76,253,6.8,60,39,water_needed
2026-03-26 14:44:50.208366,21,32,72,892,5.9,69,53,water_needed
2026-03-26 14:44:52.366937,52,36,33,741,7.3,90,54,water_needed
2026-03-26 14:44:54.518367,91,21,26,844,6.1,85,74,water_needed
2026-03-26 14:44:56.665491,88,32,45,563,6.3,33,48,water_needed
2026-03-26 14:44:58.815733,82,29,56,255,7.3,52,50,water_needed
2026-03-26 14:45:00.958666,21,16,43,847,6.5,74,20,water_needed
2026-03-26 14:45:03.116233,18,38,64,496,6.0,42,32,water_needed
2026-03-26 14:45:05.318621,55,38,39,273,7.5,42,37,water_needed
2026-03-26 14:45:07.472954,95,36,28,308,5.6,68,47,water_needed
2026-03-26 14:45:09.619374,86,40,55,745,5.6,75,21,water_needed
2026-03-26 14:45:11.771446,94,27,38,283,6.9,84,39,water_needed
2026-03-26 14:45:13.922965,63,36,85,512,6.3,83,75,healthy
2026-03-26 14:45:16.076683,61,37,76,407,5.9,81,46,water_needed
2026-03-26 14:45:18.222566,81,41,85,855,6.1,64,42,water_needed
2026-03-26 14:45:20.363058,43,30,74,165,7.4,63,46,water_needed
2026-03-26 14:45:22.507562,42,45,46,586,7.3,77,80,water_needed
2026-03-26 14:45:24.662256,48,29,29,491,7.5,48,26,water_needed
2026-03-26 14:45:26.804174,53,35,56,282,7.5,86,61,healthy
2026-03-26 14:45:28.956003,88,24,35,348,7.3,60,80,water_needed
2026-03-26 14:45:31.109948,29,26,57,614,6.7,69,37,water_needed
2026-03-26 14:45:33.258700,23,35,77,218,6.3,72,21,water_needed
2026-03-26 14:45:35.470582,32,34,41,152,6.3,53,29,water_needed
